date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:54:37	111149/111149	---M-Z	200	added ('OK')	text/html	etag:%226601bba-1b22d-5c4e68d32eb80-gzip%22	https://codervent.com/etrans/demo/index.html	C:/My%20Web%20Sites/de/codervent.com/etrans/demo/index.html	(from )
19:54:38	98/98	---M-Z	200	added ('OK')	text/plain	etag:%225fe3396-62-5fdb6110cf3db-gzip%22	https://codervent.com/robots.txt		(from )
19:54:38	2135/2135	---M--	200	added ('OK')	image/png	etag:%226601ab5-857-5c135bdd78980%22	https://codervent.com/etrans/demo/assets/images/favicon-32x32.png	C:/My%20Web%20Sites/de/codervent.com/etrans/demo/assets/images/favicon-32x32.png	(from https://codervent.com/etrans/demo/index.html)
19:54:38	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%226601b44-d17-56a520d816680-gzip%22	https://codervent.com/etrans/demo/assets/plugins/OwlCarousel/css/owl.carousel.min.css	C:/My%20Web%20Sites/de/codervent.com/etrans/demo/assets/plugins/OwlCarousel/css/owl.carousel.min.css	(from https://codervent.com/etrans/demo/index.html)
19:54:38	3684/3684	---M-Z	200	added ('OK')	text/css	etag:%2266204b4-e64-5bb2a9850b580-gzip%22	https://codervent.com/etrans/demo/assets/plugins/simplebar/css/simplebar.css	C:/My%20Web%20Sites/de/codervent.com/etrans/demo/assets/plugins/simplebar/css/simplebar.css	(from https://codervent.com/etrans/demo/index.html)
19:54:38	2768/2768	---M-Z	200	added ('OK')	text/css	etag:%226601bad-ad0-5bba95d231280-gzip%22	https://codervent.com/etrans/demo/assets/plugins/perfect-scrollbar/css/perfect-scrollbar.css	C:/My%20Web%20Sites/de/codervent.com/etrans/demo/assets/plugins/perfect-scrollbar/css/perfect-scrollbar.css	(from https://codervent.com/etrans/demo/index.html)
19:54:39	1929/1929	---M-Z	200	added ('OK')	text/css	etag:%226601b90-789-5b43eb3f98700-gzip%22	https://codervent.com/etrans/demo/assets/plugins/metismenu/css/metisMenu.min.css	C:/My%20Web%20Sites/de/codervent.com/etrans/demo/assets/plugins/metismenu/css/metisMenu.min.css	(from https://codervent.com/etrans/demo/index.html)
19:54:39	2339/2339	---M-Z	200	added ('OK')	text/css	etag:%226601868-923-5bb4391ddfa00-gzip%22	https://codervent.com/etrans/demo/assets/css/pace.min.css	C:/My%20Web%20Sites/de/codervent.com/etrans/demo/assets/css/pace.min.css	(from https://codervent.com/etrans/demo/index.html)
19:54:39	12293/12293	---M-Z	200	added ('OK')	text/javascript	etag:%226601b3c-3005-5ba7394529a00-gzip%22	https://codervent.com/etrans/demo/assets/js/pace.min.js	C:/My%20Web%20Sites/de/codervent.com/etrans/demo/assets/js/pace.min.js	(from https://codervent.com/etrans/demo/index.html)
19:54:39	178929/178929	---M-Z	200	added ('OK')	text/css	etag:%226601865-2baf1-5c01bb717e600-gzip%22	https://codervent.com/etrans/demo/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/de/codervent.com/etrans/demo/assets/css/bootstrap.min.css	(from https://codervent.com/etrans/demo/index.html)
19:54:40	31934/31934	---M-Z	200	added ('OK')	text/css	etag:%226601864-7cbe-5c1276c468700-gzip%22	https://codervent.com/etrans/demo/assets/css/app.css	C:/My%20Web%20Sites/de/codervent.com/etrans/demo/assets/css/app.css	(from https://codervent.com/etrans/demo/index.html)
19:54:40	157241/157241	---M-Z	200	added ('OK')	text/css	etag:%226601867-26639-5c10dd6eac900-gzip%22	https://codervent.com/etrans/demo/assets/css/icons.css	C:/My%20Web%20Sites/de/codervent.com/etrans/demo/assets/css/icons.css	(from https://codervent.com/etrans/demo/index.html)
19:54:40	30270/30270	---M-Z	200	added ('OK')	text/html	etag:%226601bbb-763e-5c1b0649d7980-gzip%22	https://codervent.com/etrans/demo/order-tracking.html	C:/My%20Web%20Sites/de/codervent.com/etrans/demo/order-tracking.html	(from https://codervent.com/etrans/demo/index.html)
19:54:40	35568/35568	---M-Z	200	added ('OK')	text/html	etag:%22660185d-8af0-5c1b06a37cd00-gzip%22	https://codervent.com/etrans/demo/about-us.html	C:/My%20Web%20Sites/de/codervent.com/etrans/demo/about-us.html	(from https://codervent.com/etrans/demo/index.html)
19:54:40	48999/48999	---M-Z	200	added ('OK')	text/html	etag:%226601bbf-bf67-5c1b06685c180-gzip%22	https://codervent.com/etrans/demo/shop-categories.html	C:/My%20Web%20Sites/de/codervent.com/etrans/demo/shop-categories.html	(from https://codervent.com/etrans/demo/index.html)
19:54:41	41476/41476	---M-Z	200	added ('OK')	text/html	etag:%226601bb3-a204-5c1b061fe1680-gzip%22	https://codervent.com/etrans/demo/blog.html	C:/My%20Web%20Sites/de/codervent.com/etrans/demo/blog.html	(from https://codervent.com/etrans/demo/index.html)
19:54:41	30873/30873	---M-Z	200	added ('OK')	text/html	etag:%226601bb9-7899-5c1b064607080-gzip%22	https://codervent.com/etrans/demo/contact-us.html	C:/My%20Web%20Sites/de/codervent.com/etrans/demo/contact-us.html	(from https://codervent.com/etrans/demo/index.html)
19:54:41	21963/21963	---M--	200	added ('OK')	image/png	etag:%226601af4-55cb-5bcf801f07380%22	https://codervent.com/etrans/demo/assets/images/logo-icon.png	C:/My%20Web%20Sites/de/codervent.com/etrans/demo/assets/images/logo-icon.png	(from https://codervent.com/etrans/demo/index.html)
19:54:41	30378/30378	---M-Z	200	added ('OK')	text/html	etag:%226601860-76aa-5c1b06ab1df00-gzip%22	https://codervent.com/etrans/demo/account-dashboard.html	C:/My%20Web%20Sites/de/codervent.com/etrans/demo/account-dashboard.html	(from https://codervent.com/etrans/demo/index.html)
19:54:42	41051/41051	---M-Z	200	added ('OK')	text/html	etag:%226601bc8-a05b-5c1b069bdbb00-gzip%22	https://codervent.com/etrans/demo/wishlist.html	C:/My%20Web%20Sites/de/codervent.com/etrans/demo/wishlist.html	(from https://codervent.com/etrans/demo/index.html)
19:54:42	58412/58412	---M--	200	added ('OK')	image/png	etag:%226601afd-e42c-5bd61e752e480%22	https://codervent.com/etrans/demo/assets/images/products/01.png	C:/My%20Web%20Sites/de/codervent.com/etrans/demo/assets/images/products/01.png	(from https://codervent.com/etrans/demo/index.html)
19:54:43	109388/109388	---M--	200	added ('OK')	image/png	etag:%226601b01-1ab4c-5bd6207bfac80%22	https://codervent.com/etrans/demo/assets/images/products/05.png	C:/My%20Web%20Sites/de/codervent.com/etrans/demo/assets/images/products/05.png	(from https://codervent.com/etrans/demo/index.html)
19:54:43	103797/103797	---M--	200	added ('OK')	image/png	etag:%226601b0e-19575-5bd65e2532680%22	https://codervent.com/etrans/demo/assets/images/products/17.png	C:/My%20Web%20Sites/de/codervent.com/etrans/demo/assets/images/products/17.png	(from https://codervent.com/etrans/demo/index.html)
19:54:44	72732/72732	---M--	200	added ('OK')	image/png	etag:%226601b07-11c1c-5bd659d107000%22	https://codervent.com/etrans/demo/assets/images/products/10.png	C:/My%20Web%20Sites/de/codervent.com/etrans/demo/assets/images/products/10.png	(from https://codervent.com/etrans/demo/index.html)
19:54:44	88537/88537	---M--	200	added ('OK')	image/png	etag:%226601b05-159d9-5bd622793de00%22	https://codervent.com/etrans/demo/assets/images/products/08.png	C:/My%20Web%20Sites/de/codervent.com/etrans/demo/assets/images/products/08.png	(from https://codervent.com/etrans/demo/index.html)
19:54:44	110528/110528	---M--	200	added ('OK')	image/png	etag:%226601b0f-1afc0-5bd6626462b80%22	https://codervent.com/etrans/demo/assets/images/products/18.png	C:/My%20Web%20Sites/de/codervent.com/etrans/demo/assets/images/products/18.png	(from https://codervent.com/etrans/demo/index.html)
19:54:44	97175/97175	---M--	200	added ('OK')	image/png	etag:%226601b00-17b97-5bd61f5a10080%22	https://codervent.com/etrans/demo/assets/images/products/04.png	C:/My%20Web%20Sites/de/codervent.com/etrans/demo/assets/images/products/04.png	(from https://codervent.com/etrans/demo/index.html)
19:54:44	24528/24528	---M--	200	added ('OK')	image/png	etag:%226601b0d-5fd0-5bd65d9254c00%22	https://codervent.com/etrans/demo/assets/images/products/16.png	C:/My%20Web%20Sites/de/codervent.com/etrans/demo/assets/images/products/16.png	(from https://codervent.com/etrans/demo/index.html)
19:54:45	68353/68353	---M--	200	added ('OK')	image/jpeg	etag:%226601ad8-10b01-5c0b157e62c00%22	https://codervent.com/etrans/demo/assets/images/gallery/menu-img.jpg	C:/My%20Web%20Sites/de/codervent.com/etrans/demo/assets/images/gallery/menu-img.jpg	(from https://codervent.com/etrans/demo/index.html)
19:54:45	63099/63099	---M-Z	200	added ('OK')	text/html	etag:%226601bc1-f67b-5c1b0675b6100-gzip%22	https://codervent.com/etrans/demo/shop-grid-left-sidebar.html	C:/My%20Web%20Sites/de/codervent.com/etrans/demo/shop-grid-left-sidebar.html	(from https://codervent.com/etrans/demo/index.html)
19:54:45	63121/63121	---M-Z	200	added ('OK')	text/html	etag:%226601bc2-f691-5c1b067b6ee80-gzip%22	https://codervent.com/etrans/demo/shop-grid-right-sidebar.html	C:/My%20Web%20Sites/de/codervent.com/etrans/demo/shop-grid-right-sidebar.html	(from https://codervent.com/etrans/demo/index.html)
19:54:46	60684/60684	---M-Z	200	added ('OK')	text/html	etag:%226601bc4-ed0c-5c1b0684f8500-gzip%22	https://codervent.com/etrans/demo/shop-list-left-sidebar.html	C:/My%20Web%20Sites/de/codervent.com/etrans/demo/shop-list-left-sidebar.html	(from https://codervent.com/etrans/demo/index.html)
19:54:46	60704/60704	---M-Z	200	added ('OK')	text/html	etag:%226601bc5-ed20-5c1b068e81b80-gzip%22	https://codervent.com/etrans/demo/shop-list-right-sidebar.html	C:/My%20Web%20Sites/de/codervent.com/etrans/demo/shop-list-right-sidebar.html	(from https://codervent.com/etrans/demo/index.html)
19:54:46	56816/56816	---M-Z	200	added ('OK')	text/html	etag:%226601bc0-ddf0-5c1b066ffd380-gzip%22	https://codervent.com/etrans/demo/shop-grid-filter-on-top.html	C:/My%20Web%20Sites/de/codervent.com/etrans/demo/shop-grid-filter-on-top.html	(from https://codervent.com/etrans/demo/index.html)
19:54:46	58880/58880	---M-Z	200	added ('OK')	text/html	etag:%226601bc3-e600-5c1b068127c00-gzip%22	https://codervent.com/etrans/demo/shop-list-filter-on-top.html	C:/My%20Web%20Sites/de/codervent.com/etrans/demo/shop-list-filter-on-top.html	(from https://codervent.com/etrans/demo/index.html)
